index,networks,anat_label,Cognitive Atlas label
432,RSN16,mCingFPN,working memory
433,RSN16,mCingFPN,working memory
434,RSN16,mCingFPN,working memory
435,RSN10,D-FPN-01,motor planning
436,RSN10,D-FPN-01,motor planning
437,RSN10,D-FPN-01,motor planning
438,RSN10,D-FPN-01,motor planning
439,RSN27,FTPN-02,"reading, mental arithmetic"
440,RSN09,ON-01,visual perception
441,RSN09,ON-01,visual perception
442,RSN04,PcN-02,articulation
443,RSN04,PcN-02,articulation
